#chr	start	end	length	cnt_indels
chr1	997558	1002811	5254	2
chr1	1368408	1368440	33	2
chr1	2811263	2811290	28	2
chr1	4274147	4274163	17	2
chr1	9982563	10020358	37796	2
chr1	10558337	10558357	21	2
chr1	14850487	14850507	21	2
chr1	15015689	15015709	21	3
chr1	15186616	15186634	19	2
chr1	17938028	17938044	17	2
chr1	18280576	18280592	17	2
chr1	19238001	19238017	17	2
chr1	22365858	22365871	14	2
chr1	22586852	22586878	27	2
chr1	23567204	23567221	18	2
chr1	27155243	27155265	23	2
chr1	30689473	30689485	13	2
chr1	33489002	33489017	16	2
chr1	39868750	39868765	16	2
chr1	42893765	42893778	14	2
chr1	43045311	43045325	15	2
chr1	43755292	43755310	19	2
chr1	49784058	49784073	16	2
chr1	55199419	55199433	15	2
chr1	59179512	59179530	19	2
chr1	66351538	66351553	16	2
chr1	78886390	78886418	29	2
chr1	94479737	94479760	24	2
chr1	98108440	98108449	10	2
chr1	99995738	100015462	19725	2
chr1	111135642	111135654	13	2
chr1	111858525	111858556	32	2
chr1	116334921	116334937	17	2
chr1	117442797	117442812	16	2
chr1	117747700	117747719	20	2
chr1	151086818	151086836	19	2
chr1	151483911	151483929	19	2
chr1	153399275	153399293	19	2
chr1	157516240	157516260	21	2
chr1	158349933	158349949	17	2
chr1	158916337	158916353	17	2
chr1	162077732	162077755	24	3
chr1	164788547	164788562	16	2
chr1	165066322	165066339	18	2
chr1	167363221	167363236	16	2
chr1	168176385	168176400	16	2
chr1	169227651	169227663	13	2
chr1	170483212	170483229	18	2
chr1	177907436	177907452	17	2
chr1	182703010	182703026	17	2
chr1	184830703	184830718	16	2
chr1	186617298	186617314	17	2
chr1	191152476	191152494	19	2
chr1	192675949	192675972	24	2
chr1	193115604	193115620	17	2
chr1	193940237	193940257	21	3
chr1	200182703	200182721	19	2
chr1	202593875	202593901	27	3
chr1	206203705	206203720	16	2
chr1	221175512	221175528	17	2
chr1	233044361	233044381	21	2
chr1	234712711	234712726	16	2
chr1	237637576	237637596	21	2
chr1	239668559	239668574	16	2
chr1	243102109	243102133	25	2
chr1	244473388	244473403	16	2
chr2	96247	125109	28863	2
chr2	977158	1007498	30341	2
chr2	1483507	1483528	22	2
chr2	1713219	1713256	38	2
chr2	2218029	2218045	17	2
chr2	2867487	2867504	18	2
chr2	6303349	6303363	15	2
chr2	7845627	7845643	17	2
chr2	9198410	9198437	28	2
chr2	9980135	10028977	48843	2
chr2	10091447	10091465	19	2
chr2	11623359	11623375	17	2
chr2	14065973	14066049	77	2
chr2	16051541	16051561	21	2
chr2	16091200	16091224	25	2
chr2	16262056	16262069	14	2
chr2	18465296	18465323	28	2
chr2	18657216	18657232	17	2
chr2	20269138	20269154	17	2
chr2	20865896	20865916	21	2
chr2	25431553	25431573	21	3
chr2	26006922	26006935	14	2
chr2	26119352	26119368	17	2
chr2	28572904	28572921	18	2
chr2	33455958	33455970	13	2
chr2	38267188	38267200	13	2
chr2	39441030	39441055	26	3
chr2	46279978	46279995	18	2
chr2	46654424	46654436	13	2
chr2	50067795	50067810	16	2
chr2	51981258	51981280	23	2
chr2	52655657	52655673	17	2
chr2	57552308	57552341	34	2
chr2	62464520	62464540	21	2
chr2	64197378	64197398	21	2
chr2	65913863	65913878	16	2
chr2	67829769	67829788	20	2
chr2	67939500	67939521	22	2
chr2	70192575	70192592	18	2
chr2	75843814	75843826	13	2
chr2	77468355	77468373	19	2
chr2	80215614	80215628	15	2
chr2	80926788	80926817	30	2
chr2	84459335	84459346	12	2
chr2	85220671	85220679	9	2
chr2	96242346	96242370	25	2
chr2	99999483	100009279	9797	2
chr2	101002632	101002643	12	2
chr2	102146438	102146449	12	2
chr2	109078997	109079007	11	2
chr2	123452353	123452377	25	2
chr2	126347999	126348014	16	3
chr2	126902053	126902067	15	3
chr2	128739720	128739753	34	2
chr2	131612431	131612446	16	2
chr2	132705022	132705034	13	2
chr2	134606515	134606539	25	2
chr2	137763969	137763985	17	2
chr2	138324703	138324718	16	2
chr2	144872252	144872272	21	3
chr2	147990515	147990549	35	2
chr2	149618540	149618556	17	2
chr2	154351835	154351851	17	2
chr2	164282349	164282373	25	3
chr2	170038235	170038260	26	2
chr2	176983598	176983616	19	2
chr2	189059483	189059499	17	2
chr2	197779342	197779348	7	2
chr2	216290486	216290500	15	2
chr2	216443584	216443606	23	2
chr2	220386427	220386468	42	2
chr2	224170102	224170122	21	2
chr2	229398174	229398189	16	2
chr2	232041356	232041368	13	2
chr2	234075233	234075251	19	2
chr2	235659406	235659419	14	3
chr2	236971290	236971308	19	2
chr2	236986681	236986699	19	3
chr2	238033379	238033403	25	2
chr2	240098019	240098053	35	2
chr3	64007	64019	13	2
chr3	67974	108193	40220	2
chr3	570806	570826	21	2
chr3	981200	1004419	23220	2
chr3	1951354	1951384	31	2
chr3	9991253	10004066	12814	2
chr3	10363413	10363428	16	2
chr3	12563505	12563528	24	2
chr3	18434054	18434068	15	2
chr3	18928318	18928333	16	2
chr3	20150775	20150791	17	2
